# Sedes municipais p/ camada 'Cidades' — gerado por tools/gera_cidades_ibge.py
# Fontes: IBGE (coordenadas/capital + agregado 6579). Corte: pop>=12000
nome,uf,lat,lon,populacao,capital
Rio Branco,AC,-9.975,-67.8243,389001,1
Cruzeiro do Sul,AC,-7.6276,-72.6756,98916,0
Tarauacá,AC,-8.157,-70.7722,46816,0
Sena Madureira,AC,-9.066,-68.6571,44049,0
Feijó,AC,-8.1705,-70.351,37764,0
Brasiléia,AC,-10.995,-68.7497,28028,0
Senador Guiomard,AC,-10.1497,-67.7362,22402,0
Mâncio Lima,AC,-7.6166,-72.8997,20479,0
Epitaciolândia,AC,-11.0188,-68.7341,19874,0
Xapuri,AC,-10.6516,-68.4969,19170,0
Marechal Thaumaturgo,AC,-8.939,-72.7997,18057,0
Porto Acre,AC,-9.5814,-67.5478,17523,0
Plácido de Castro,AC,-10.2806,-67.1371,17107,0
Rodrigues Alves,AC,-7.7386,-72.661,15560,0
Acrelândia,AC,-9.8258,-66.8972,14712,0
Bujari,AC,-9.8153,-67.955,13928,0
Manoel Urbano,AC,-8.8329,-69.2679,12923,0
Maceió,AL,-9.666,-35.735,994952,1
Arapiraca,AL,-9.7549,-36.6615,243906,0
Rio Largo,AL,-9.4778,-35.8394,97658,0
Palmeira dos Índios,AL,-9.4057,-36.6328,73621,0
Marechal Deodoro,AL,-9.7097,-35.8967,62477,0
União dos Palmares,AL,-9.1592,-36.0223,60860,0
Penedo,AL,-10.2874,-36.5819,60185,0
São Miguel dos Campos,AL,-9.783,-36.0971,53380,0
Delmiro Gouveia,AL,-9.3853,-37.9987,52845,0
Coruripe,AL,-10.1276,-36.1717,51784,0
Santana do Ipanema,AL,-9.37,-37.248,47418,0
Teotônio Vilela,AL,-9.9166,-36.3492,39143,0
Atalaia,AL,-9.5119,-36.0086,38480,0
Girau do Ponciano,AL,-9.884,-36.8316,37337,0
Pilar,AL,-9.6014,-35.9543,36525,0
Maragogi,AL,-9.0074,-35.2267,33269,0
São Sebastião,AL,-9.9304,-36.559,32707,0
Campo Alegre,AL,-9.7845,-36.3525,32558,0
São Luís do Quitunde,AL,-9.3182,-35.5606,31785,0
São José da Tapera,AL,-9.5577,-37.3831,31569,0
Craíbas,AL,-9.6178,-36.7697,26144,0
Murici,AL,-9.3068,-35.9428,25926,0
Limoeiro de Anadia,AL,-9.741,-36.5121,25184,0
Satuba,AL,-9.5691,-35.8227,25105,0
Porto Calvo,AL,-9.0519,-35.3987,24509,0
Igaci,AL,-9.5377,-36.6372,24445,0
Viçosa,AL,-9.3676,-36.2431,24414,0
Junqueiro,AL,-9.907,-36.4803,24382,0
Matriz de Camaragibe,AL,-9.1544,-35.5243,24331,0
Pão de Açúcar,AL,-9.7403,-37.4403,24291,0
Traipu,AL,-9.9626,-37.0071,24106,0
Feira Grande,AL,-9.8986,-36.6815,23204,0
Piranhas,AL,-9.624,-37.757,23053,0
Mata Grande,AL,-9.1182,-37.7323,22126,0
Igreja Nova,AL,-10.1235,-36.6597,22113,0
Boca da Mata,AL,-9.6431,-36.2125,21479,0
São José da Laje,AL,-9.0128,-36.0515,21180,0
Olho d'Água das Flores,AL,-9.5369,-37.2971,21135,0
Porto Real do Colégio,AL,-10.1849,-36.8376,20273,0
Água Branca,AL,-9.262,-37.938,19550,0
Taquarana,AL,-9.6453,-36.4928,19428,0
Lagoa da Canoa,AL,-9.8329,-36.7413,18836,0
Major Isidoro,AL,-9.5301,-36.992,17828,0
Joaquim Gomes,AL,-9.1328,-35.7474,17342,0
Batalha,AL,-9.6742,-37.133,17103,0
Barra de Santo Antônio,AL,-9.4023,-35.5101,16756,0
Cajueiro,AL,-9.3994,-36.1559,16572,0
Piaçabuçu,AL,-10.406,-36.434,16192,0
Colônia Leopoldina,AL,-8.9181,-35.7214,15915,0
Canapi,AL,-9.1193,-37.5967,15730,0
Messias,AL,-9.3938,-35.8392,15706,0
Estrela de Alagoas,AL,-9.3909,-36.7644,15688,0
Inhapi,AL,-9.2259,-37.7509,15396,0
Capela,AL,-9.415,-36.0826,15051,0
Paripueira,AL,-9.4631,-35.552,14199,0
Anadia,AL,-9.6849,-36.3078,14167,0
Passo de Camaragibe,AL,-9.2451,-35.4745,14070,0
Ibateguara,AL,-8.9782,-35.9373,13982,0
Maribondo,AL,-9.5835,-36.3045,13970,0
Poço das Trincheiras,AL,-9.3074,-37.2889,12965,0
Senador Rui Palmeira,AL,-9.4699,-37.4576,12545,0
Manaus,AM,-3.1187,-60.0212,2303732,1
Itacoatiara,AM,-3.1386,-58.4449,113917,0
Manacapuru,AM,-3.2907,-60.6216,111751,0
Parintins,AM,-2.6374,-56.729,101855,0
Tefé,AM,-3.3682,-64.7193,80137,0
Coari,AM,-4.0941,-63.1441,73576,0
Tabatinga,AM,-4.2416,-69.9383,73348,0
Iranduba,AM,-3.2748,-60.19,68862,0
Maués,AM,-3.3929,-57.7067,66336,0
Humaitá,AM,-7.5117,-63.0327,63454,0
Manicoré,AM,-5.8046,-61.2895,58018,0
São Gabriel da Cachoeira,AM,-0.1191,-67.084,57396,0
Lábrea,AM,-7.2641,-64.7948,49469,0
Autazes,AM,-3.5857,-59.1256,45960,0
Benjamin Constant,AM,-4.3777,-70.0342,40908,0
Boca do Acre,AM,-8.7423,-67.3919,38792,0
Eirunepé,AM,-6.6568,-69.8662,35793,0
São Paulo de Olivença,AM,-3.4729,-68.9646,35442,0
Borba,AM,-4.3915,-59.5874,34869,0
Barreirinha,AM,-2.7989,-57.0679,33722,0
Presidente Figueiredo,AM,-2.0298,-60.0234,33291,0
Careiro,AM,-3.768,-60.369,32336,0
Carauari,AM,-4.8816,-66.9086,31130,0
Santo Antônio do Içá,AM,-3.0954,-67.9463,30679,0
Fonte Boa,AM,-2.5234,-66.0942,28227,0
Jutaí,AM,-2.7581,-66.7595,28202,0
Nova Olinda do Norte,AM,-3.9004,-59.094,28123,0
Boa Vista do Ramos,AM,-2.9741,-57.5873,26479,0
Urucurituba,AM,-3.1284,-58.1496,25965,0
Ipixuna,AM,-7.0479,-71.6934,25629,0
Rio Preto da Eva,AM,-2.7045,-59.6858,25364,0
Novo Aripuanã,AM,-5.1259,-60.3732,25325,0
Codajás,AM,-3.8305,-62.0658,24572,0
Beruri,AM,-3.8987,-61.3616,22495,0
Apuí,AM,-7.1941,-59.896,21781,0
Nhamundá,AM,-2.2079,-56.7112,21251,0
Tapauá,AM,-5.6208,-63.1808,20728,0
Careiro da Várzea,AM,-3.314,-59.5557,20324,0
Tonantins,AM,-2.8658,-67.7919,20257,0
Pauini,AM,-7.7131,-66.992,20229,0
Urucará,AM,-2.5294,-57.7538,19617,0
Barcelos,AM,-0.9834,-62.9311,18210,0
Canutama,AM,-6.5258,-64.3953,18109,0
Anori,AM,-3.746,-61.6575,18056,0
Envira,AM,-7.4379,-70.0281,17985,0
Alvarães,AM,-3.2273,-64.8007,16806,0
Novo Airão,AM,-2.6364,-60.9434,16562,0
Manaquiri,AM,-3.4408,-60.4612,16211,0
Atalaia do Norte,AM,-4.3705,-70.1967,15889,0
Maraã,AM,-1.8531,-65.573,15815,0
Uarini,AM,-2.9961,-65.1133,15640,0
Caapiranga,AM,-3.3154,-61.2206,14806,0
Guajará,AM,-7.538,-72.5907,14344,0
Santa Isabel do Rio Negro,AM,-0.4108,-65.0092,13947,0
Silves,AM,-2.8175,-58.248,12619,0
